Key;Nieuw Wetboek van Strafvordering
1-0-0-0;1.1.1
2-1-0-0;1.2.9, 1
2-1-0-0;1.2.9, 1, a
2-1-0-0;1.2.9, 1, b
2-1-0-0;1.2.9, 1, c
2-1-0-0;1.2.9, 1, b
2-1-0-0;1.2.9, 1, d
2-1-0-0;1.2.9, 2, a
2-1-0-0;1.2.9, 2, b
2-1-0-0;1.2.9, 2, b
2-2-0-0;vervallen (mvt)
2-3-0-0;1.2.9, 3
2-4-0-0;1.2.9, 3
2-5-0-0;1.2.9, 2, c
4-0-0-0;1.2.11
5-0-0-0;1.2.11
6-1-0-0;1.2.9, 4
6-2-0-0;vervallen (mvt)
6-3-0-0;1.2.9, 5
7-0-0-0;1.3.2, 2
8-0-0-0;1.3.1, 1
9-1-0-0;"1.3.2, 1; 1.3.5"
9-2-0-0;1.3.7
9-3-0-0;1.3.7
9-4-0-0;1.3.7
9-5-0-0;1.3.2, 1
10-1-0-0;vervalllen
10-2-0-0;vervallen
10-3-0-0;vervallen
12-1-0-0;3.5.1, 1 en 3
12-2-0-0;3.5.2
12-3-0-0;vervallen (mvt)
12-4-0-0;algemeen B1H9
12a-1-0-0;3.5.4, 4
12a-2-0-0;3.5.4, 5
12b-0-0-0;3.5.10, 1
12c-0-0-0;3.5.5, 2
12d-1-0-0;3.5.6, 1
12d-2-0-0;3.5.10, 3
12d-3-0-0;3.5.6, 2
12e-1-0-0;3.5.7, 1
12e-2-0-0;3.5.7, 2
12f-1-0-0;3.5.8, 1
12f-2-0-0;3.5.8, 2
12f-3-0-0;3.5.8, 3
12f-4-0-0;3.5.8, 4
12g-0-0-0;3.5.9, 3
12h-0-0-0;3.5.9, 1
12i-1-0-0;"3.5.10, 4; 3.5.11, 1"
12i-2-0-0;3.5.10, 5
12i-3-0-0;3.5.10, 4
12i-4-0-0;3.5.10, 5
12j-0-0-0;40973
12k-1-0-0;3.5.4, 1
12k-2-0-0;3.5.4, 3
12l-1-0-0;3.5.3
12l-2-0-0;3.5.4, 1
13-1-0-0;vervallen (mvt)
13-2-0-0;vervallen (mvt)
13-3-0-0;vervallen (mvt)
13a-0-0-0;B6T1.5
14-1-0-0;vervallen (mvt)
14-2-0-0;vervallen (mvt)
14a-0-0-0;vervallen (mvt)
15-0-0-0;vervallen (mvt)
16-1-0-0;vervallen (mvt)
16-2-0-0;vervallen (mvt)
17-1-0-0;vervallen (mvt)
17-2-0-0;vervallen (mvt)
19-1-0-0;vervallen (mvt)
19-2-0-0;vervallen (mvt)
20-1-0-0;vervallen (mvt)
20-2-0-0;vervallen (mvt)
21-1-0-0;1.2.4
21-2-0-0;vervallen
21-2-a-0;vervallen
21-2-b-0;vervallen
21-2-c-0;vervallen
21-3-0-0;1.2.13, 3
21-4-0-0;1.2.14, 1
21-5-0-0;1.2.13, 1, a en b
21-6-0-0;1.2.13, 2
21-7-0-0;algemene regeling (1.2.6 en 1.2.7)
22-1-0-0;1.2.16, 1
22-2-0-0;1.2.16, 2
22-3-0-0;1.2.16, 3
22-4-0-0;algemene regeling (1.4.8)
22-5-0-0;1.2.16, 4
23-1-0-0;1.2.19, 1
23-2-0-0;1.2.18, 1 en 2
23-3-0-0;1.2.18, 3 en 4
23-4-0-0;1.11.7, 1, c
23-5-0-0;1.2.15, 1
23-6-0-0;1.2.18, 5
24-1-0-0;1.2.23, 1 en 3
24-2-0-0;1.2.23, 4
24-3-0-0;1.2.8, 2 en 5
24-4-0-0;1.2.24, 1 en
24-5-0-0;1.2.24, 3
25-1-0-0;1.2.21, 1
25-2-0-0;1.2.21, 2
25-3-0-0;1.2.21, 5
25-4-0-0;algemene regeling (1.8.1)
27-1-0-0;1.4.1, 1 en 2
27-2-0-0;1.4.1, 3
27-3-0-0;1.4.2, 2 en 3
27-4-0-0;1.11.7, 1
27a-1-0-0;1.4.8, 1 en 2
27a-2-0-0;1.4.8, 2
27b-1-0-0;bepaling over gegevensverwerking
27b-2-0-0;bepaling over gegevensverwerking
27b-3-0-0;bepaling over gegevensverwerking
27b-4-0-0;bepaling over gegevensverwerking
27b-5-0-0;bepaling over gegevensverwerking
27b-6-0-0;bepaling over gegevensverwerking
27c-1-0-0;1.4.4, 1
27c-2-0-0;1.4.4, 2
27c-3-0-0;1.4.4, 4
27c-3-a-0;1.4.4, 4, a
27c-3-b-0;1.4.4, 4, a
27c-3-c-0;1.4.4, 4, a
27c-3-d-0;1.4.4, 4, a
27c-3-e-0;1.4.4, 4, b
27c-3-f-0;1.4.4, 4, c
27c-3-g-0;1.4.4, 4, d
27c-3-h-0;1.4.4, 4, e
27c-3-i-0;1.4.4, 4, f
27c-4-0-0;1.4.4, 5
27c-5-0-0;1.4.4, 6
27ca-1-0-0;1.4.7, 1
27ca-1-a-0;1.4.7, 1, a
27ca-1-b-0;1.4.7, 1, b
27ca-1-c-0;1.4.7, 1, c
27ca-2-0-0;1.4.7, 2
27ca-2-a-0;1.4.7, 2, a
27ca-2-b-0;1.4.7, 2
27ca-2-c-0;1.4.7, 2, b
27ca-2-d-0;1.4.7, 2
27cb-0-0-0;2.3.5
27d-1-0-0;2.3.1, 1
27d-2-0-0;2.3.1, 2
27e-1-0-0;2.5.12, 1
27e-2-0-0;2.5.12, 2
27e-3-0-0;2.5.12, 3
27e-3-a-0;2.5.12, 3, a
27e-3-b-0;2.5.12, 3, b
27e-4-0-0;2.5.12, 4
28-1-0-0;1.4.5, 1
28-2-0-0;1.4.5, 3
28-3-0-0;1.4.5, 4
28-4-0-0;1.4.5, 2
28-5-0-0;"1.11.7, 1; 1.11.8, 1"
28a-1-0-0;1.4.6, 1
28a-2-0-0;1.4.6, 2
28ab-0-0-0;vervallen (mvt)
28b-1-0-0;2.3.7, 1
28b-2-0-0;2.3.7, 2
28b-3-0-0;2.3.7, 3
28b-4-0-0;2.3.7, 4
28c-1-0-0;2.3.8, 1
28c-2-0-0;2.3.8, 2
28d-1-0-0;2.3.9, 1
28d-2-0-0;2.3.9, 2
28d-3-0-0;2.3.9, 3
28d-4-0-0;2.3.9, 4
28e-1-0-0;2.3.10, 1
28e-1-a-0;2.3.10, 1, a
28e-1-b-0;2.3.10, 1, b
28e-1-c-0;2.3.10, 1, c
28e-1-d-0;2.3.10, 1, d
28e-2-0-0;2.3.10, 2
28e-2-a-0;2.3.10, 2, a
28e-2-b-0;2.3.10, 2, b
28e-3-0-0;2.3.10, 3
28e-4-0-0;2.3.10, 4
29-1-0-0;1.4.3, 1
29-2-0-0;"1.4.3, 2; 2.3.6; 2.10.17"
29a-1-0-0;2.3.3, 1
29a-2-0-0;2.3.3, 2
29a-3-0-0;2.3.3, 3
29b-1-0-0;1.11.7, 1, a
29b-2-0-0;1.11.8, 1
29b-3-0-0;1.11.6, 3
29c-1-0-0;1.4.8, 1 en 2
29c-2-0-0;1.4.8, 2
29d-0-0-0;vervallen (mvt)
29e-1-0-0;vervallen
29e-2-0-0;vervallen
29e-3-0-0;vervallen
29f-1-0-0;3.1.3, 1
29f-2-0-0;3.1.3, 4
29f-3-0-0;3.1.3, 2
29f-4-0-0;3.1.3, 5
30-1-0-0;1.8.6, 1
30-2-0-0;1.8.6, 3
30-3-0-0;1.8.6, 2
30-4-0-0;"1.8.6, 2; 1.8.13, 1, b"
31-0-0-0;1.8.7
31-0-a-0;1.8.7, a
31-0-b-0;1.8.7, b
31-0-c-0;1.8.7, c
32-1-0-0;1.8.8, 1
32-2-0-0;1.8.8, 2
32-3-0-0;1.8.8, 3
32-4-0-0;1.8.13, 1, c
32-5-0-0;1.8.11, 1
32a-1-0-0;1.8.9, 1
32a-2-0-0;1.8.2, 2 en 3
32a-3-0-0;"1.8.9, 2; 1.8.13, 1, d, en 2"
33-0-0-0;40186
34-1-0-0;1.8.5, 1
34-2-0-0;1.8.5, 2
34-3-0-0;1.8.5, 3
34-4-0-0;1.8.5, 4
36a-1-0-0;"1.9.8; 1.9.10, 2"
36a-2-0-0;algemene regeling (1.9.4)
36b-1-0-0;1.9.5, 1
36b-1-a-0;1.9.5, 1
36b-1-b-0;1.9.5, 2
36b-1-c-0;1.9.5, 2
36b-2-0-0;1.9.10, 1
36b-3-0-0;1.9.5, 3
36b-4-0-0;algemene regeling 2.1.10
36c-1-0-0;1.9.5
36c-2-0-0;1.9.1
36d-1-0-0;1.9.12, 1
36d-2-0-0;1.9.11, 1
36d-3-0-0;1.9.12, 2
36e-1-0-0;1.9.13, 1
36e-1-a-0;1.9.13, 1
36e-1-b-0;1.9.13, 2
36e-1-0-0;1.9.13, 5, b
36e-1-0-0;1.9.13, 5, c
36e-2-0-0;1.9.13, 5 en 8
36e-2-a-0;1.9.13, 5
36e-2-b-0;1.9.13, 8
36e-3-0-0;Boek 8
36e-4-0-0;"1.9.15, 3; 1.9.16, 7"
36f-1-0-0;1.9.11, 1
36f-2-0-0;1.9.11, 2
36f-3-0-0;1.9.11, 3
36g-1-0-0;algemene regeling (1.9.6)
36g-1-a-0;algemene regeling (1.9.6)
36g-1-b-0;algemene regeling (1.9.6)
36g-1-c-0;algemene regeling (1.9.6)
36g-2-0-0;algemene regeling (1.9.6)
36g-3-0-0;algemene regeling (1.9.6)
36g-3-a-0;algemene regeling (1.9.6)
36g-3-b-0;algemene regeling (1.9.6)
36g-3-c-0;algemene regeling (1.9.6)
36g-3-d-0;algemene regeling (1.9.6)
36g-4-0-0;algemene regeling (1.9.6)
36g-5-0-0;algemene regeling (1.9.6)
36h-1-0-0;1.9.16, 1
36h-1-a-0;1.9.16, 1, a
36h-1-b-0;1.9.16, 1, b
36h-1-c-0;1.9.16, 1, c
36h-1-d-0;1.9.16, 1, d
36h-1-e-0;1.9.16, 1, e
36h-1-f-0;1.9.16, 1, f
36h-2-0-0;1.9.16, 3
36h-3-0-0;1.9.16, 2
36h-4-0-0;algemene regeling 2.1.10
36h-5-0-0;1.9.16, 7
36i-1-0-0;1.9.15, 1
36i-1-a-0;1.9.15, 1, a
36i-1-b-0;1.9.15, 1, b
36i-1-c-0;1.9.15, 1, c
36i-1-d-0;1.9.15, 1, e
36i-2-0-0;1.9.15, 3
36j-1-0-0;1.9.13, 6
36j-1-a-0;1.9.13, 6
36j-1-b-0;1.9.13, 6
36j-1-c-0;1.9.13, 6
36j-2-0-0;1.9.13, 4
36j-3-0-0;1.9.13, 5
36k-1-0-0;1.9.13, 6
36k-1-a-0;1.9.13, 6
36k-1-b-0;1.9.13, 6
36k-2-0-0;1.9.13, 4
36k-3-0-0;1.9.13, 5
36k-4-0-0;1.9.13, 4
36l-0-0-0;"1.9.13, 7; 1.9.14"
36m-0-0-0;algemene regeling B1H9
36n-1-0-0;1.9.17, 1
36n-2-0-0;vervallen
36n-3-0-0;1.9.17, 2
36n-3-a-0;1.9.17, 2
36n-3-b-0;1.9.17, 2
37-1-0-0;1.4.9, 1
37-2-0-0;1.4.9, 2
38-1-0-0;1.4.10, 1
38-2-0-0;1.4.10, 2
38-3-0-0;1.4.10, 3
38-4-0-0;1.4.10, 4
38-5-0-0;1.4.11, 1
38-6-0-0;1.4.11, 4
38-7-0-0;1.4.11, 4
39-1-0-0;1.4.12, 1
39-2-0-0;1.4.12, 2
39-3-0-0;1.4.12, 3
39-4-0-0;1.4.12, 4
40-1-0-0;41278
40-1-a-0;1.4.13, a
40-1-b-0;1.4.13, b
40-2-0-0;1.4.11, 1
41-1-0-0;1.4.14, 1
41-2-0-0;1.4.14, 2
42-1-0-0;1.4.15, 1
42-2-0-0;1.4.15, 2
43-1-0-0;1.4.11, 5
43-2-0-0;1.4.16, 1
43-3-0-0;1.4.11, 4
44-1-0-0;1.4.16, 2
44-2-0-0;1.4.16, 3
44-3-0-0;1.4.16, 4
44-4-0-0;1.4.16, 5
45-0-0-0;42739
46-1-0-0;1.4.18, 1
46-2-0-0;1.4.18, 2
46-3-0-0;1.4.18, 3
46-4-0-0;1.4.18, 4
47-1-0-0;1.4.19, 1
47-2-0-0;1.4.19, 2
48-0-0-0;1.4.20, 2
51a-1-0-0;1.5.1
51a-1-a-0;1.5.1, a
51a-1-0-0;1.5.1, b
51a-1-0-0;1.5.1, c
51a-1-b-0;1.5.1, d
51a-1-c-0;1.5.1, e
51a-1-d-0;1.11.1
51a-2-0-0;1.5.2, 5
51a-2-a-0;1.5.2, 5
51a-2-b-0;1.5.2, 5
51aa-1-0-0;1.5.2, 1
51aa-2-0-0;1.5.2, 2
51aa-3-0-0;1.5.2, 3
51aa-3-a-0;1.5.2, 3, a
51aa-3-b-0;1.5.2, 3, b
51aa-3-c-0;1.5.2, 3, c
51aa-4-0-0;1.5.2, 4
51aa-5-0-0;1,5,2, 6
51aa-5-a-0;1,5,2, 6, a
51aa-5-b-0;1,5,2, 6, b
51ab-1-0-0;1.5.3, 1, a
51ab-2-0-0;1.5.3, 2
51ac-1-0-0;"1.5.3, 1, b; 1.5.4, 1"
51ac-1-a-0;1.5.4, 1, a
